Treatment,Linage,Strain,Type,Experiment ,Temperature,Max_deriv,Lag,k
Media,607,607P,Reference,18_3_18,43,0.001699397514,477.6726681,0.5504434473
Media,607,607P,Reference,18_3_18,43,0.001868977831,402.4975907,0.555653234
Media,607,607P,Reference,18_3_18,43,0.001744481104,410.8672824,0.5624071171
Media,607,REL607,Lenski,18_3_18,43,0.001214015052,737.5750982,0.440549515
Media,607,REL607,Lenski,18_3_18,43,0.001534225753,447.6832625,0.501412766
Media,607,REL607,Lenski,18_3_18,43,0.001441956164,441.3347551,0.4845811246
Media,606,606P,Reference,18_3_18,43,0.001714409838,409.1311584,0.629428855
Media,606,606P,Reference,18_3_18,43,0.001665571485,379.3297154,0.6150479922
Media,606,606P,Reference,18_3_18,43,0.001901038092,404.3439298,0.6911262146
Media,606,REL606,Lenski,18_3_18,43,0.001437848874,468.7372819,0.4728746526
Media,606,REL606,Lenski,18_3_18,43,0.001552557636,520.6772746,0.5317507611
Media,606,REL606,Lenski,18_3_18,43,0.00147332171,459.750392,0.4875459914
Media,606,REL606,Lenski,20_3_18,15,0.0002516295591,NA,0.3765029678
Media,606,REL606,Lenski,20_3_18,15,0.0003019714578,NA,0.4750078547
Media,606,REL606,Lenski,20_3_18,15,0.0002704805749,NA,0.4103600874
Media,606,606P,Reference,20_3_18,15,0.0003236007166,NA,0.5046376355
Media,606,606P,Reference,20_3_18,15,0.0003594690678,NA,0.5711635923
Media,606,606P,Reference,20_3_18,15,0.0004100614792,NA,0.6217567472
Media,606,606P,Reference,20_3_18,15,0.0003238996453,2727.727275,0.459349954
Media,606,606P,Reference,20_3_18,15,0.0003179959795,NA,0.4454990196
Media,607,REL607,Lenski,20_3_18,15,0.0002611417546,NA,0.4028573314
Media,607,REL607,Lenski,20_3_18,15,0.0002350432606,NA,0.3789672711
Media,607,REL607,Lenski,20_3_18,15,0.0002580816316,NA,0.3915619993
Media,607,607P,Reference,20_3_19,15,0.0003092123106,NA,0.4537284388
Media,607,607P,Reference,20_3_19,15,0.0002497266747,NA,0.3636813904
Media,607,607P,Reference,20_3_19,15,0.0002744559732,NA,0.4195588378
Media,607,607P,Reference,20_3_19,15,0.0002709371137,2603.572247,0.3885171739
Media,606,REL606,Lenski,last_37_b1,37,0.001788724536,208.0785721,0.4255810002
Media,606,REL606,Lenski,last_37_b1,37,0.001356909148,201.2564743,0.3601562878
Media,606,REL606,Lenski,last_37_b1,37,0.001443078633,194.32995,0.3700786244
Media,606,606P,Reference,last_37_b1,37,0.002213050362,150.5235211,0.4915161218
Media,606,606P,Reference,last_37_b1,37,0.002149960137,141.9531559,0.483754616
Media,606,606P,Reference,last_37_b1,37,0.002146427853,140.8369819,0.4787297462
Media,607,REL607,Lenski,last_37_b1,37,0.001706064223,184.4388208,0.3965903017
Media,607,REL607,Lenski,last_37_b1,37,0.001310295775,188.4212869,0.3448045979
Media,607,REL607,Lenski,last_37_b1,37,0.001730625463,182.0580815,0.4172959253
Media,607,607P,Reference,last_37_b1,37,0.001874485228,183.8575682,0.4260102632
Media,607,607P,Reference,last_37_b1,37,0.002060613978,177.0404254,0.4844395671
Media,607,607P,Reference,last_37_b1,37,0.001988499735,181.9744715,0.4480666872
